Code,Name,Country,Exchange,Currency,Type
122,Advance Information Marketing Bhd,Malaysia,KLSE,MYR,Common Stock
123,Privasia Technology Bhd,Malaysia,KLSE,MYR,Common Stock
126,Microlink Solutions Bhd,Malaysia,KLSE,MYR,Common Stock
127,JHM Consolidation Bhd,Malaysia,KLSE,MYR,Common Stock
128,Frontken Corporation Bhd,Malaysia,KLSE,MYR,Common Stock
129,Silver Ridge Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
131,Diversified Gateway Solutions Bhd,Malaysia,KLSE,MYR,Common Stock
132,TechnoDex Bhd,Malaysia,KLSE,MYR,Common Stock
133,Sanichi Technology Bhd,Malaysia,KLSE,MYR,Common Stock
136,Greenyield Bhd,Malaysia,KLSE,MYR,Common Stock
138,My EG Services Bhd,Malaysia,KLSE,MYR,Common Stock
140,Sterling Progress Berhad,Malaysia,KLSE,MYR,Common Stock
143,Key ASIC Bhd,Malaysia,KLSE,MYR,Common Stock
145,TFP Solutions Bhd,Malaysia,KLSE,MYR,Common Stock
146,JF Technology Bhd,Malaysia,KLSE,MYR,Common Stock
148,Sunzen Biotech Berhad,Malaysia,KLSE,MYR,Common Stock
149,Fibon Bhd,Malaysia,KLSE,MYR,Common Stock
150,Fintec Global Bhd,Malaysia,KLSE,MYR,Common Stock
151,Kelington Group Bhd,Malaysia,KLSE,MYR,Common Stock
152,DGB Asia Bhd,Malaysia,KLSE,MYR,Common Stock
153,Oversea Enterprise Bhd,Malaysia,KLSE,MYR,Common Stock
154,EA Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
155,Malaysian Genomics Resource Centre Bhd,Malaysia,KLSE,MYR,Common Stock
156,Managepay Systems Bhd,Malaysia,KLSE,MYR,Common Stock
157,Focus Point Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
158,Scc Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
159,Asia Media Group Bhd,Malaysia,KLSE,MYR,Common Stock
160,Hiap Huat Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
161,SCH Group Bhd,Malaysia,KLSE,MYR,Common Stock
162,Widad Group Bhd,Malaysia,KLSE,MYR,Common Stock
163,Careplus Group Bhd,Malaysia,KLSE,MYR,Common Stock
165,XOX Bhd,Malaysia,KLSE,MYR,Common Stock
166,Inari Amertron Bhd,Malaysia,KLSE,MYR,Common Stock
167,Mclean Technologies Bhd,Malaysia,KLSE,MYR,Common Stock
168,Boilermech Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
169,SMTrack Bhd,Malaysia,KLSE,MYR,Common Stock
170,Kanger International Bhd,Malaysia,KLSE,MYR,Common Stock
